## Supplementary data to Jordi Pereira, Marcus Ritt, and Oscar C. Vásquez. A memetic algorithm for the cost-oriented robotic assembly line balancing problem. 2018. (doi:10.1016/j.cor.2018.07.001)
## Experiments presented in Table 7.
##
## Columms:
## inst: name of the instance.
## rho: time-cost correlation.
## costf: cost factor \sigma.
## type: type of the algorithm.
## vbest: value of best solution.
## mbest: number of machines in best solution.
## timetobest: time to find best solution.
## bkv: best known solution value for this instance.
## lb: best known lower bound for this instance.
## brd: relative deviation of the best known value from the lower bound.
## rd: relative deviation of the best found value from the lower bound.
##
"inst" "rho" "costf" "type" "vbest" "mbest" "timetobest" "bkv" "lb" "brd" "rd"
"025_003_roszieg" 0.8 0.33 "rl" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rs" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ma" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rl" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ga" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ma" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rs" 9165 6 1 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ma" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rs" 9165 6 1 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rl" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ga" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rs" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rl" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ga" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rl" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rs" 9165 6 1 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ga" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rs" 9165 6 1 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rs" 9165 6 2 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rl" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ga" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ma" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rs" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ga" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ga" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rl" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rs" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rl" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ga" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ma" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ma" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ma" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ga" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ma" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ma" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "rs" 9165 6 1 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ma" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 0.33 "ga" 9165 6 0 9165 9110.6 0.597106666959382 0.597106666959382
"025_003_roszieg" 0.8 1 "rl" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rl" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ga" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rs" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ga" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ma" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rl" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ga" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ga" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ma" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ga" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rl" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rs" 16259 6 1 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rs" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ga" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ma" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ma" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ma" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ma" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rs" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rl" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ga" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rl" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rs" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rl" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ma" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ga" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ma" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ga" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rs" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rl" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rs" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rl" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rs" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ma" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rl" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ga" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "ma" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rs" 16259 6 4 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 1 "rs" 16259 6 0 16259 14993.125 8.44303639167952 8.44303639167952
"025_003_roszieg" 0.8 3 "rl" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rl" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ga" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rs" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ga" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rs" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ma" 26469 5 4 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rs" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rs" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rl" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rs" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ga" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rs" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ga" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rs" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rl" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ga" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ga" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rs" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rl" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rl" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ma" 26469 5 2 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ma" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ma" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ga" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ma" 26469 5 1 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ga" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ma" 26469 5 4 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "ma" 26469 5 45 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rs" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
"025_003_roszieg" 0.8 3 "rl" 26469 5 0 26469 25302.5714285714 4.60992106956944 4.60992106956944
